Id,SalePrice
1461,124940.50647538863
1462,165505.81695518302
1463,179875.80149833314
1464,186456.54855853473
1465,191102.77641764676
1466,176778.58552387301
1467,173132.39038129966
1468,167644.89202102402
1469,184492.53218498378
1470,124894.36061795117
1471,195198.6085566731
1472,95702.75656137828
1473,96094.06141619165
1474,148191.44287544297
1475,115617.8643244804
1476,364912.8336170586
1477,251105.61093433938
1478,291918.13404378016
1479,289854.11741574586
1480,480510.33197424293
1481,320581.6951356832
1482,204295.7476991096
1483,176168.55393148639
1484,166290.9756124493
1485,177679.03775852537
1486,194924.53303137815
1487,332807.41651842813
1488,227969.84223468436
1489,199634.0808723136
1490,240497.93047342225
1491,194390.1086648955
1492,93424.73860475252
1493,177654.92814497527
1494,293328.2723923968
1495,281776.5403369778
1496,239007.704962838
1497,187427.49304316926
1498,166298.6230585536
1499,157036.12018530743
1500,154012.7532311227
1501,175319.15273934713
1502,156385.52314106136
1503,282710.9461443633
1504,231979.2228583416
1505,227262.49592476356
1506,183079.01971668212
1507,259049.40673317164
1508,199126.29982568894
1509,155812.7924964122
1510,146208.73742530018
1511,156679.3875242027
1512,174229.01457045125
1513,144962.54908689696
1514,160350.94558995546
1515,193149.28772414796
1516,147793.60255723493
1517,161082.09397622882
1518,134186.07958162756
1519,221987.22453910843
1520,134162.51538344758
1521,137455.4039528186
1522,169650.07193512682
1523,115486.14194153436
1524,122326.26715606119
1525,125153.52693934957
1526,120573.24944413386
1527,109378.25343032922
1528,132381.02184587944
1529,146803.85598208313
1530,172976.65021227644
1531,117086.06549671297
1532,97901.54074447622
1533,148192.1794910139
1534,120575.47600843511
1535,149351.62374898023
1536,113366.43830073468
1537,70637.2002450573
1538,135635.98042610634
1539,196576.1141078329
1540,94895.49972676235
1541,136624.8436555935
1542,146198.1980967803
1543,200655.03462663948
1544,85961.1095001916
1545,107834.67026418372
1546,128339.20067756799
1547,130377.40697585786
1548,134009.17240301348
1549,116431.14698382314
1550,136666.19413936973
1551,114249.8971966082
1552,140414.88148470022
1553,142133.8434567641
1554,115596.39641113354
1555,171560.36487474845
1556,90894.17528760481
1557,115188.39771634145
1558,99322.37410722545
1559,74809.3482053826
1560,129856.14701478163
1561,132999.12292221125
1562,132253.0938756932
1563,120342.76571651148
1564,163484.82480391074
1565,151806.44597023167
1566,237792.61908316324
1567,79818.9592078833
1568,232046.0549435502
1569,145470.19925205113
1570,136187.6163886573
1571,120207.24357491247
1572,146255.3200691924
1573,239086.87948405076
1574,112588.37671924087
1575,230405.68118592838
1576,237227.37771071517
1577,189364.86664839648
1578,139091.4837399143
1579,143125.99959565056
1580,192251.41049564502
1581,147263.2295459891
1582,126318.29876186191
1583,322368.5341285613
1584,231062.64879427192
1585,144455.63616978627
1586,75675.75896878974
1587,102620.29010052737
1588,144374.9263339367
1589,98172.43384140125
1590,135321.93001413104
1591,96060.91690834571
1592,119928.20303345844
1593,121584.26403046492
1594,121835.77939987047
1595,113601.93924770683
1596,236614.71048529382
1597,180470.99735223464
1598,201794.37151796508
1599,166647.39802578144
1600,168551.76772451645
1601,63954.764500268364
1602,117447.78821653988
1603,69866.19288813946
1604,266766.8172563013
1605,244777.27753924628
1606,167140.73156189188
1607,176463.65297862297
1608,214181.80776193144
1609,184522.84721858034
1610,154249.16266594728
1611,140832.7695512775
1612,177454.24559539848
1613,167230.30071236612
1614,115478.13116864717
1615,88169.45962139253
1616,77591.46877284783
1617,92130.84464779659
1618,130223.40554083059
1619,140287.90693868647
1620,173472.90308526772
1621,137689.0051902616
1622,141451.31775941246
1623,267056.2790420757
1624,222098.79633141746
1625,123157.41157052017
1626,167178.78044388737
1627,187981.4334374009
1628,271090.80290567415
1629,174381.59774322162
1630,352678.27956115163
1631,212898.55481045897
1632,234078.47394501616
1633,167530.15031308334
